,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
3,Manaus,61.137,22.894,143.0,"40,86%","1.048,85",1.596,"6,97%","73,12",2020-06-13
4,INTERIOR,62.981,33.132,388.0,"59,14%","1.688,83",869,"2,62%","44,30",2020-06-13
5,Manacapuru,6.685,2.855,12,"5,10%","2.931,90",121,"4,24%","124,26",2020-06-13
6,Coari,5.308,2.804,0,"5,00%","3.295,06",75,"2,67%","88,13",2020-06-13
7,Tefé,2.823,2.481,85,"4,43%","4.145,43",66,"2,66%","110,28",2020-06-13
8,São Gabriel da Cachoeira,2.893,2.401,52,"4,29%","5.269,51",30,"1,25%","65,84",2020-06-13
9,Parintins,3.950,1.953,2,"3,49%","1.709,07",63,"3,23%","55,13",2020-06-13
10,Benjamin Constant,2.159,1.317,1,"2,35%","3.063,93",25,"1,90%","58,16",2020-06-13
11,Tabatinga,2.198,1.176,2,"2,10%","1.786,04",67,"5,70%","101,76",2020-06-13
12,Iranduba,2.660,1.1420000000000001,5,"2,04%","2.364,59",34,"2,98%","70,40",2020-06-13
13,Itacoatiara,2.185,1.129,0,"2,02%","1.114,10",50,"4,43%","49,34",2020-06-13
14,Santo Antônio do Içá (1),1.359,902.0,2,"1,61%","4.175,54",18,"2,00%","83,33",2020-06-13
15,Careiro,1.485,849.0,0,"1,52%","2.241,94",13,"1,53%","34,33",2020-06-13
16,Maués,1.593,783.0,15,"1,40%","1.225,26",29,"3,70%","45,38",2020-06-13
17,Autazes,1.311,776.0,1,"1,39%","1.961,33",27,"3,48%","68,24",2020-06-13
18,Barcelos,1.328,708.0,0,"1,26%","2.574,36",20,"2,82%","72,72",2020-06-13
19,Rio Preto da Eva,2.331,693.0,6,"1,24%","2.078,15",11,"1,59%","32,99",2020-06-13
20,Presidente Figueiredo,1.883,678.0,1,"1,21%","1.868,85",19,"2,80%","52,37",2020-06-13
21,São Paulo de Olivença,930,544.0,4,"0,97%","1.384,26",15,"2,76%","38,17",2020-06-13
