,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia,Obitos,Letalidade,Mortalidade,Data
440,Envira,100,25.0,0,0.03%,124.79,0,0.00%,0,2020-07-09 00:00:00
441,Manaus,81527,29396,143.0,36.71%,1346.73,1860,6.33%,85.21,2020-07-08 00:00:00
442,INTERIOR,98606,50686,707.0,63.29%,2583.6,1107,2.18%,56.43,2020-07-08 00:00:00
443,Coari,9875,6.071000000000001,0,7.58%,7134.21,95,1.56%,111.64,2020-07-08 00:00:00
444,Manacapuru,7762,3.2060000000000004,13,4.00%,3292.36,128,3.99%,131.45,2020-07-08 00:00:00
445,Tefé (1),4200,2892,205,3.61%,4832.16,80,2.77%,133.67,2020-07-08 00:00:00
446,São Gabriel da Cachoeira,4020,2.8989999999999996,61,3.62%,6362.48,47,1.62%,103.15,2020-07-08 00:00:00
447,Parintins,6550,2841,2,3.55%,2486.15,87,3.06%,76.13,2020-07-08 00:00:00
448,Itacoatiara (1),3734,1683,2,2.10%,1660.8,54,3.21%,53.29,2020-07-08 00:00:00
449,Tabatinga,2781,1.5019999999999998,2,1.88%,2281.15,75,4.99%,113.91,2020-07-08 00:00:00
450,Benjamin Constant,2538,1472,1,1.84%,3424.53,27,1.83%,62.81,2020-07-08 00:00:00
451,Barcelos,2921,1.4169999999999998,0,1.77%,5152.35,24,1.69%,87.27,2020-07-08 00:00:00
452,Iranduba,3294,1.2819999999999998,5,1.60%,2654.46,44,3.43%,91.1,2020-07-08 00:00:00
453,Presidente Figueiredo,4005,1262,1,1.58%,3478.6,20,1.58%,55.13,2020-07-08 00:00:00
454,Humaitá,2176,1136,1,1.42%,2062.45,29,2.55%,52.65,2020-07-08 00:00:00
455,Maués,2356,1.05,15,1.31%,1643.06,31,2.95%,48.51,2020-07-08 00:00:00
456,Alvarães,1545,1035,4,1.29%,6452.22,13,1.26%,81.04,2020-07-08 00:00:00
457,Autazes,1853,1028,1,1.28%,2598.26,32,3.11%,80.88,2020-07-08 00:00:00
458,Santo Antônio do Içá,1489,1008,2,1.26%,4666.23,20,1.98%,92.58,2020-07-08 00:00:00
459,Careiro,1600,980.0,1,1.22%,2587.87,14,1.43%,36.97,2020-07-08 00:00:00
460,Tapauá (1),1961,781.0,0,0.98%,4552.34,4,0.51%,23.32,2020-07-08 00:00:00
461,Barreirinha,1294,692.0,0,0.86%,2159.73,7,1.01%,21.85,2020-07-08 00:00:00
462,Rio Preto da Eva,2561,671.0,8,0.84%,2012.18,14,2.09%,41.98,2020-07-08 00:00:00
463,São Paulo de Olivença,1220,717.0,13,0.90%,1824.47,19,2.65%,48.35,2020-07-08 00:00:00
464,Boca do Acre,1450,678.0,0,0.85%,1976.22,10,1.47%,29.15,2020-07-08 00:00:00
465,Lábrea,759,675.0,3,0.84%,1465.19,10,1.48%,21.71,2020-07-08 00:00:00
466,Eirunepé,1645,687.0,0,0.86%,1947.67,0,0.00%,0,2020-07-08 00:00:00
467,Fonte Boa (1),1229,604.0,39,0.75%,3430.06,16,2.65%,90.86,2020-07-08 00:00:00
468,Anori,1069,597.0,0,0.75%,2841.5,11,1.84%,52.36,2020-07-08 00:00:00
469,Atalaia do Norte (1),900,582.0,5,0.73%,2921.54,4,0.69%,20.08,2020-07-08 00:00:00
470,Nova Olinda do Norte,758,591.0,5,0.74%,1581.14,20,3.38%,53.51,2020-07-08 00:00:00
471,Uarini,569,569.0,0,0.71%,4202.36,8,1.41%,59.08,2020-07-08 00:00:00
472,Carauari (1),1781,545.0,1,0.68%,1926.2,7,1.28%,24.74,2020-07-08 00:00:00
473,Borba (1),1204,535.0,84,0.67%,1299.77,19,3.55%,46.16,2020-07-08 00:00:00
474,Itapiranga,531,531.0,1,0.66%,5804.55,6,1.13%,65.59,2020-07-08 00:00:00
475,Pauini (1),510,510.0,0,0.64%,2625.35,4,0.78%,20.59,2020-07-08 00:00:00
476,Santa Isabel do Rio Negro,1131,643.0,0,0.80%,2556.05,7,1.09%,27.83,2020-07-08 00:00:00
477,Guajará,573,515.0,0,0.64%,3087.9,2,0.39%,11.99,2020-07-08 00:00:00
478,Tonantins (1),973,481.0,1,0.60%,2564.65,14,2.91%,74.65,2020-07-08 00:00:00
479,Beruri,732,461.0,2,0.58%,2342.6,7,1.52%,35.57,2020-07-08 00:00:00
480,Urucurituba,1262,463.0,1,0.58%,2007.37,4,0.86%,17.34,2020-07-08 00:00:00
481,Novo Aripuanã (1),587,447.0,0,0.56%,1743.1,9,2.01%,35.1,2020-07-08 00:00:00
482,Amaturá,522,448.0,0,0.56%,3883.5,8,1.79%,69.35,2020-07-08 00:00:00
483,Itamarati,685,391.0,0,0.49%,4980.26,3,0.77%,38.21,2020-07-08 00:00:00
484,Urucará,804,392.0,7,0.49%,2411.42,5,1.28%,30.76,2020-07-08 00:00:00
485,Manaquiri,415,329.0,1,0.41%,1024.76,12,3.65%,37.38,2020-07-08 00:00:00
486,Anamã,601,330.0,0,0.41%,2423.98,0,0.00%,0,2020-07-08 00:00:00
487,Manicoré (1),1564,288.0,32,0.36%,516.58,6,2.08%,10.76,2020-07-08 00:00:00
488,Japurá,588,295.0,124,0.37%,10707.8,1,0.34%,36.3,2020-07-08 00:00:00
489,São Sebastião do Uatumã,470,280.0,1,0.35%,1997.15,1,0.36%,7.13,2020-07-08 00:00:00
490,Jutaí,598,272.0,7,0.34%,1899.84,15,5.51%,104.77,2020-07-08 00:00:00
491,Boa Vista do Ramos,510,248.0,3,0.31%,1291.2,2,0.81%,10.41,2020-07-08 00:00:00
492,Juruá,706,263.0,1,0.33%,1787.66,3,1.14%,20.39,2020-07-08 00:00:00
493,Novo Airão,684,235.0,0,0.29%,1207.98,6,2.55%,30.84,2020-07-08 00:00:00
494,Maraã,544,221.0,44,0.28%,1212.69,3,1.36%,16.46,2020-07-08 00:00:00
495,Silves,378,168.0,3,0.21%,1831.86,4,2.38%,43.62,2020-07-08 00:00:00
496,Nhamundá,269,163.0,1,0.20%,769.85,5,3.07%,23.61,2020-07-08 00:00:00
497,Caapiranga,487,162.0,2,0.20%,1238.44,4,2.47%,30.58,2020-07-08 00:00:00
498,Codajás,240,156.0,1,0.19%,544.75,3,1.92%,10.48,2020-07-08 00:00:00
499,Careiro da Várzea,362,111.0,0,0.14%,367.25,4,3.60%,13.23,2020-07-08 00:00:00
500,Canutama (1),219,93.0,0,0.12%,595.05,0,0.00%,0,2020-07-08 00:00:00
501,Apuí (1),224,62.0,1,0.08%,282.16,0,0.00%,0,2020-07-08 00:00:00
502,Ipixuna,278,21.0,0,0.03%,70.73,0,0.00%,0,2020-07-08 00:00:00
503,Envira,60,19.0,0,0.02%,94.84,0,0.00%,0,2020-07-08 00:00:00
508,Coari,9262,4263,0,5.58%,5009.58,90,2.11%,105.76,2020-07-06 00:00:00
509,Manacapuru,7759,3.1710000000000003,13,4.15%,3256.42,128,4.04%,131.45,2020-07-06 00:00:00
510,Tefé,4200,2.8819999999999997,205,3.77%,4815.45,80,2.78%,133.67,2020-07-06 00:00:00
511,São Gabriel da Cachoeira,4003,2843,61,3.72%,6239.58,45,1.58%,98.76,2020-07-06 00:00:00
512,Parintins,6265,2815,2,3.68%,2463.4,87,3.09%,76.13,2020-07-06 00:00:00
513,Itacoatiara,3679,1656,2,2.17%,1634.15,54,3.26%,53.29,2020-07-06 00:00:00
514,Tabatinga,2735,1.4780000000000002,2,1.93%,2244.7,75,5.07%,113.91,2020-07-06 00:00:00
515,Benjamin Constant,2533,1464,1,1.92%,3405.92,27,1.84%,62.81,2020-07-06 00:00:00
516,Iranduba,3217,1.26,5,1.65%,2608.91,43,3.41%,89.03,2020-07-06 00:00:00
517,Barcelos,2421,1253,0,1.64%,4556.03,24,1.92%,87.27,2020-07-06 00:00:00
518,Presidente Figueiredo,3752,1197,1,1.57%,3299.43,20,1.67%,55.13,2020-07-06 00:00:00
519,Maués,2320,1042,15,1.36%,1630.55,31,2.98%,48.51,2020-07-06 00:00:00
520,Alvarães,1515,1024,4,1.34%,6383.64,13,1.27%,81.04,2020-07-06 00:00:00
521,Autazes,1826,1015,1,1.33%,2565.4,32,3.15%,80.88,2020-07-06 00:00:00
522,Santo Antônio do Içá,1487,1006,2,1.32%,4656.98,20,1.99%,92.58,2020-07-06 00:00:00
523,Humaitá,2156,1057,1,1.38%,1919.03,26,2.46%,47.2,2020-07-06 00:00:00
524,Careiro,1585,965.0,1,1.26%,2548.26,14,1.45%,36.97,2020-07-06 00:00:00
525,Tapauá (1),1961,781.0,0,1.02%,4552.34,4,0.51%,23.32,2020-07-06 00:00:00
526,Barreirinha,1273,675.0,0,0.88%,2106.68,7,1.04%,21.85,2020-07-06 00:00:00
527,São Paulo de Olivença (1),1210,669.0,13,0.88%,1702.33,18,2.69%,45.8,2020-07-06 00:00:00
528,Rio Preto da Eva,2541,668.0,8,0.87%,2003.18,14,2.10%,41.98,2020-07-06 00:00:00
529,Boca do Acre,1425,661.0,0,0.86%,1926.66,10,1.51%,29.15,2020-07-06 00:00:00
530,Lábrea,710,634.0,3,0.83%,1376.2,9,1.42%,19.54,2020-07-06 00:00:00
531,Fonte Boa,1219,600.0,39,0.79%,3407.35,16,2.67%,90.86,2020-07-06 00:00:00
532,Eirunepé (1),1476,574.0,0,0.75%,1627.31,0,0.00%,0,2020-07-06 00:00:00
533,Anori,1020,581.0,0,0.76%,2765.35,10,1.72%,47.6,2020-07-06 00:00:00
534,Atalaia do Norte,860,565.0,5,0.74%,2836.2,3,0.53%,15.06,2020-07-06 00:00:00
535,Nova Olinda do Norte,730,565.0,5,0.74%,1511.58,20,3.54%,53.51,2020-07-06 00:00:00
536,Uarini,550,550.0,0,0.72%,4062.04,8,1.45%,59.08,2020-07-06 00:00:00
537,Carauari,1781,545.0,1,0.71%,1926.2,7,1.28%,24.74,2020-07-06 00:00:00
538,Itapiranga (1),522,522.0,1,0.68%,5706.17,6,1.15%,65.59,2020-07-06 00:00:00
539,Pauini (1),510,510.0,0,0.67%,2625.35,4,0.78%,20.59,2020-07-06 00:00:00
540,Santa Isabel do Rio Negro,954,504.0,0,0.66%,2003.5,6,1.19%,23.85,2020-07-06 00:00:00
541,Tonantins (1),973,481.0,1,0.63%,2564.65,14,2.91%,74.65,2020-07-06 00:00:00
542,Guajará,509,474.0,0,0.62%,2842.07,2,0.42%,11.99,2020-07-06 00:00:00
543,Borba,1199,533.0,84,0.70%,1294.92,19,3.56%,46.16,2020-07-06 00:00:00
544,Beruri,495,457.0,2,0.60%,2322.27,7,1.53%,35.57,2020-07-06 00:00:00
545,Urucurituba,1209,443.0,1,0.58%,1920.66,4,0.90%,17.34,2020-07-06 00:00:00
546,Amaturá,517,442.0,0,0.58%,3831.48,8,1.81%,69.35,2020-07-06 00:00:00
547,Novo Aripuanã,587,447.0,0,0.58%,1743.1,9,2.01%,35.1,2020-07-06 00:00:00
548,Itamarati (1),657,379.0,0,0.50%,4827.41,3,0.79%,38.21,2020-07-06 00:00:00
549,Urucará (1),780,368.0,7,0.48%,2263.78,5,1.36%,30.76,2020-07-06 00:00:00
550,Anamã,577,316.0,0,0.41%,2321.14,0,0.00%,0,2020-07-06 00:00:00
551,Manaquiri,405,313.0,1,0.41%,974.93,12,3.83%,37.38,2020-07-06 00:00:00
552,Japurá,566,284.0,124,0.37%,10308.53,1,0.35%,36.3,2020-07-06 00:00:00
553,São Sebastião do Uatumã,470,266.0,1,0.35%,1897.29,1,0.38%,7.13,2020-07-06 00:00:00
554,Jutaí,591,267.0,7,0.35%,1864.92,15,5.62%,104.77,2020-07-06 00:00:00
555,Manicoré,1526,282.0,32,0.37%,505.82,6,2.13%,10.76,2020-07-06 00:00:00
556,Juruá (1),648,237.0,1,0.31%,1610.93,3,1.27%,20.39,2020-07-06 00:00:00
557,Boa Vista do Ramos,490,236.0,3,0.31%,1228.72,2,0.85%,10.41,2020-07-06 00:00:00
558,Novo Airão,650,230.0,0,0.30%,1182.28,6,2.61%,30.84,2020-07-06 00:00:00
559,Maraã,536,211.0,44,0.28%,1157.81,3,1.42%,16.46,2020-07-06 00:00:00
560,Silves,368,166.0,3,0.22%,1810.05,4,2.41%,43.62,2020-07-06 00:00:00
561,Nhamundá,265,159.0,1,0.21%,750.96,5,3.14%,23.61,2020-07-06 00:00:00
562,Caapiranga,477,157.0,2,0.21%,1200.21,4,2.55%,30.58,2020-07-06 00:00:00
563,Codajás,233,153.0,1,0.20%,534.27,3,1.96%,10.48,2020-07-06 00:00:00
564,Careiro da Várzea,325,99.0,0,0.13%,327.54,4,4.04%,13.23,2020-07-06 00:00:00
565,Canutama,214,93.0,0,0.12%,595.05,0,0.00%,0,2020-07-06 00:00:00
566,Apuí (1),219,57.0,1,0.07%,259.41,0,0.00%,0,2020-07-06 00:00:00
567,Envira,11,3.0,0,0.00%,14.98,0,0.00%,0,2020-07-06 00:00:00
569,Manaus,74976,27122,143.0,38.94%,1242.55,1770,6.53%,81.09,2020-06-28 00:00:00
570,INTERIOR,84103,42527,633.0,61.06%,2167.72,1012,2.38%,51.58,2020-06-28 00:00:00
571,Coari,7402,3.71,0.0,5.33%,4359.73,82.0,2.21%,96.36,2020-06-28 00:00:00
572,Manacapuru (1),7605,3.12,13.0,4.48%,3204.04,124.0,3.97%,127.34,2020-06-28 00:00:00
573,Tefé,3.2089999999999996,2777,179.0,3.99%,4640.01,79.0,2.81%,130.33,2020-06-28 00:00:00
574,São Gabriel da Cachoeira,3806,2659,52.0,3.82%,5835.75,44.0,1.65%,96.57,2020-06-28 00:00:00
575,Parinns,5569,2494,2.0,3.58%,2182.49,75.0,3.01%,65.63,2020-06-28 00:00:00
576,Itacoaara,3306,1469,2.0,2.11%,1449.62,53.0,3.61%,52.3,2020-06-28 00:00:00
577,Benjamin Constant,2509,1.4580000000000002,1.0,2.09%,3391.96,27.0,1.85%,62.81,2020-06-28 00:00:00
578,Tabanga,2556,1405,2.0,2.02%,2133.83,74.0,5.27%,112.39,2020-06-28 00:00:00
579,Iranduba,3.0610000000000004,1218,5.0,1.75%,2521.95,39.0,3.20%,80.75,2020-06-28 00:00:00
580,Santo Antônio do Içá (1),1479,998.0,2.0,1.43%,4619.94,19.0,1.90%,87.95,2020-06-28 00:00:00
581,Presidente Figueiredo,2.9160000000000004,988.0,1.0,1.42%,2723.34,20.0,2.02%,55.13,2020-06-28 00:00:00
582,Maués,2117,967.0,15.0,1.39%,1513.18,31.0,3.21%,48.51,2020-06-28 00:00:00
583,Autazes,1671,956.0,1.0,1.37%,2416.28,27.0,2.82%,68.24,2020-06-28 00:00:00
584,Alvarães (1),1.3419999999999999,926.0,4.0,1.33%,5772.71,13.0,1.40%,81.04,2020-06-28 00:00:00
585,Careiro (1),1575,918.0,1.0,1.32%,2424.15,13.0,1.42%,34.33,2020-06-28 00:00:00
586,Barcelos,1.8130000000000002,907.0,0.0,1.30%,3297.94,22.0,2.43%,79.99,2020-06-28 00:00:00
587,Humaitá,1.63,679.0,0.0,0.97%,1232.75,15.0,2.21%,27.23,2020-06-28 00:00:00
588,Tapauá (1),1.7469999999999999,677.0,0.0,0.97%,3946.14,3.0,0.44%,17.49,2020-06-28 00:00:00
589,Rio Preto da Eva,2471,647.0,8.0,0.93%,1940.2,13.0,2.01%,38.98,2020-06-28 00:00:00
590,São Paulo de Olivença (1),1.17,635.0,13.0,0.91%,1615.82,18.0,2.83%,45.8,2020-06-28 00:00:00
591,Boca do Acre,1334,625.0,0.0,0.90%,1821.73,10.0,1.60%,29.15,2020-06-28 00:00:00
592,Barreirinha,1.0,602.0,0.0,0.86%,1878.84,7.0,1.16%,21.85,2020-06-28 00:00:00
593,Anori,956.0,566.0,0.0,0.81%,2693.96,10.0,1.77%,47.6,2020-06-28 00:00:00
594,Fonte Boa,1129,564.0,39.0,0.81%,3202.91,16.0,2.84%,90.86,2020-06-28 00:00:00
595,Itapiranga,513.0,513.0,1.0,0.74%,5607.78,6.0,1.17%,65.59,2020-06-28 00:00:00
596,Carauari,1624,500.0,1.0,0.72%,1767.16,6.0,1.20%,21.21,2020-06-28 00:00:00
597,Uarini,493.0,493.0,0.0,0.71%,3641.06,6.0,1.22%,44.31,2020-06-28 00:00:00
598,Atalaia do Norte (1),760.0,485.0,0.0,0.70%,2434.62,2.0,0.41%,10.04,2020-06-28 00:00:00
599,Lábrea,598.0,483.0,3.0,0.69%,1048.43,7.0,1.45%,15.19,2020-06-28 00:00:00
600,Nova Olinda do Norte,627.0,476.0,5.0,0.68%,1273.48,19.0,3.99%,50.83,2020-06-28 00:00:00
601,Tonanns (1),915.0,447.0,1.0,0.64%,2383.36,14.0,3.13%,74.65,2020-06-28 00:00:00
602,Eirunepé,1227,438.0,0.0,0.63%,1241.74,0.0,0.00%,0,2020-06-28 00:00:00
603,Borba,1028,432.0,84.0,0.62%,1049.54,17.0,3.94%,41.3,2020-06-28 00:00:00
604,Novo Aripuanã (1),531.0,410.0,0.0,0.59%,1598.81,9.0,2.20%,35.1,2020-06-28 00:00:00
605,Amaturá,412.0,409.0,0.0,0.59%,3545.42,8.0,1.96%,69.35,2020-06-28 00:00:00
606,Guajará,418.0,406.0,0.0,0.58%,2434.34,1.0,0.25%,6,2020-06-28 00:00:00
607,Beruri (1),495.0,394.0,2.0,0.57%,2002.13,6.0,1.52%,30.49,2020-06-28 00:00:00
608,Urucurituba,1036,393.0,1.0,0.56%,1703.88,3.0,0.76%,13.01,2020-06-28 00:00:00
609,Urucará (1),773.0,358.0,7.0,0.51%,2202.26,4.0,1.12%,24.61,2020-06-28 00:00:00
610,Itamara(1),550.0,288.0,0.0,0.41%,3668.32,2.0,0.69%,25.47,2020-06-28 00:00:00
611,Pauini (1),289.0,284.0,0.0,0.41%,1461.96,3.0,1.06%,15.44,2020-06-28 00:00:00
612,Anamã,503.0,282.0,0.0,0.40%,2071.4,0.0,0.00%,0,2020-06-28 00:00:00
613,Santa Isabel do Rio Negro,617.0,277.0,0.0,0.40%,1101.13,4.0,1.44%,15.9,2020-06-28 00:00:00
614,Japurá,506.0,256.0,104.0,0.37%,9292.2,1.0,0.39%,36.3,2020-06-28 00:00:00
615,Jutaí (1),525.0,248.0,7.0,0.36%,1732.21,13.0,5.24%,90.8,2020-06-28 00:00:00
616,Manaquiri,370.0,243.0,1.0,0.35%,756.89,12.0,4.94%,37.38,2020-06-28 00:00:00
617,Juruá (1),614.0,215.0,1.0,0.31%,1461.39,2.0,0.93%,13.59,2020-06-28 00:00:00
618,São Sebasão do Uatumã (1),447.0,215.0,1.0,0.31%,1533.52,1.0,0.47%,7.13,2020-06-28 00:00:00
619,Novo Airão,595.0,211.0,0.0,0.30%,1084.61,6.0,2.37%,25.7,2020-06-28 00:00:00
620,Manicoré,1254,207.0,32.0,0.30%,371.29,4.0,1.93%,7.17,2020-06-28 00:00:00
621,Maraã (1),529.0,199.0,33.0,0.29%,1091.97,3.0,1.51%,16.46,2020-06-28 00:00:00
622,Boa Vista do Ramos,402.0,193.0,3.0,0.28%,1004.84,2.0,1.04%,10.41,2020-06-28 00:00:00
623,Silves,329.0,160.0,3.0,0.23%,1744.63,4.0,2.50%,43.62,2020-06-28 00:00:00
624,Nhamundá,246.0,148.0,1.0,0.21%,699,4.0,2.70%,18.89,2020-06-28 00:00:00
625,Caapiranga,437.0,146.0,0.0,0.21%,1116.12,4.0,2.74%,30.58,2020-06-28 00:00:00
626,Codajás,219.0,140.0,1.0,0.20%,488.88,3.0,2.14%,10.48,2020-06-28 00:00:00
627,Canutama,184.0,89.0,0.0,0.13%,569.45,0.0,0.00%,0,2020-06-28 00:00:00
628,Careiro da Várzea,243.0,78.0,0.0,0.11%,258.06,4.0,5.13%,13.23,2020-06-28 00:00:00
629,Apuí,209.0,42.0,1.0,0.06%,191.14,0.0,0.00%,0,2020-06-28 00:00:00
630,Ipixuna,201.0,4.0,0.0,0.01%,13.47,0.0,0.00%,0,2020-06-28 00:00:00
631,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-28 00:00:00
632,Manaus,73766,26842,143.0,38.89%,1229.73,1768,6.59%,81,2020-06-27 00:00:00
633,INTERIOR,83.12299999999998,42180,633.0,61.11%,2150.03,1004,2.38%,51.18,2020-06-27 00:00:00
634,Coari,7.337999999999999,3701,0.0,5.36%,4349.15,82.0,2.22%,96.36,2020-06-27 00:00:00
635,Manacapuru,7605,3.12,13.0,4.52%,3204.04,124.0,3.97%,127.34,2020-06-27 00:00:00
636,Tefé,3196,2772,179.0,4.02%,4631.66,79.0,2.85%,132,2020-06-27 00:00:00
637,São Gabriel da Cachoeira,3806,2659,52.0,3.85%,5835.75,44.0,1.65%,96.57,2020-06-27 00:00:00
638,Parintins,5474,2457,2.0,3.56%,2150.11,74.0,3.01%,64.76,2020-06-27 00:00:00
639,Benjamin Constant,2504,1.4569999999999999,1.0,2.11%,3389.63,27.0,1.85%,62.81,2020-06-27 00:00:00
640,Itacoatiara,3254,1.45,2.0,2.10%,1430.87,53.0,3.66%,52.3,2020-06-27 00:00:00
641,Tabatinga,2552,1401,2.0,2.03%,2127.76,74.0,5.28%,112.39,2020-06-27 00:00:00
642,Iranduba,3.06,1217,5.0,1.76%,2519.88,39.0,3.20%,80.75,2020-06-27 00:00:00
643,Santo Antônio do Içá (1),1479,998.0,2.0,1.45%,4619.94,19.0,1.90%,87.95,2020-06-27 00:00:00
644,Presidente Figueiredo,2.85,969.0,1.0,1.40%,2670.97,20.0,2.06%,55.13,2020-06-27 00:00:00
645,Autazes,1662,953.0,1.0,1.38%,2408.69,27.0,2.83%,68.24,2020-06-27 00:00:00
646,Maués,2.06,946.0,15.0,1.37%,1480.32,31.0,3.28%,48.51,2020-06-27 00:00:00
647,Alvarães,1342,926.0,4.0,1.34%,5772.71,13.0,1.40%,81.04,2020-06-27 00:00:00
648,Careiro (1),1575,918.0,1.0,1.33%,2424.15,13.0,1.42%,34.33,2020-06-27 00:00:00
649,Barcelos,1803,874.0,0.0,1.27%,3177.95,22.0,2.52%,79.99,2020-06-27 00:00:00
650,Tapauá,1747,677.0,0.0,0.98%,3946.14,3.0,0.44%,17.49,2020-06-27 00:00:00
651,Humaitá,1384,658.0,0.0,0.95%,1194.63,9.0,1.37%,16.34,2020-06-27 00:00:00
652,Rio Preto da Eva,2461,645.0,8.0,0.93%,1934.21,13.0,2.02%,38.98,2020-06-27 00:00:00
653,São Paulo de Olivença,1.17,635.0,13.0,0.92%,1615.82,18.0,2.83%,45.8,2020-06-27 00:00:00
654,Boca do Acre,1293,624.0,0.0,0.90%,1818.82,10.0,1.60%,29.15,2020-06-27 00:00:00
655,Barreirinha,957.0,598.0,0.0,0.87%,1866.36,7.0,1.17%,21.85,2020-06-27 00:00:00
656,Anori,956.0,566.0,0.0,0.82%,2693.96,10.0,1.77%,47.6,2020-06-27 00:00:00
657,Fonte Boa,1104,548.0,39.0,0.79%,3112.04,16.0,2.92%,90.86,2020-06-27 00:00:00
658,Itapiranga,513.0,513.0,1.0,0.74%,5607.78,6.0,1.17%,65.59,2020-06-27 00:00:00
659,Uarini,493.0,493.0,0.0,0.71%,3641.06,6.0,1.22%,44.31,2020-06-27 00:00:00
660,Carauari (1),1567,486.0,1.0,0.70%,1717.68,6.0,1.23%,21.21,2020-06-27 00:00:00
661,Atalaia do Norte,760.0,485.0,0.0,0.70%,2434.62,2.0,0.41%,10.04,2020-06-27 00:00:00
662,Lábrea,559.0,473.0,3.0,0.69%,1026.72,6.0,1.27%,13.02,2020-06-27 00:00:00
663,Tonantins (1),915.0,447.0,1.0,0.65%,2383.36,14.0,3.13%,74.65,2020-06-27 00:00:00
664,Eirunepé,1217,433.0,0.0,0.63%,1227.57,0.0,0.00%,0,2020-06-27 00:00:00
665,Nova Olinda do Norte,610.0,432.0,5.0,0.63%,1155.76,19.0,4.40%,50.83,2020-06-27 00:00:00
666,Borba,1022,431.0,84.0,0.62%,1047.11,17.0,3.94%,41.3,2020-06-27 00:00:00
667,Novo Aripuanã,531.0,410.0,0.0,0.59%,1598.81,9.0,2.20%,35.1,2020-06-27 00:00:00
668,Amaturá,402.0,399.0,0.0,0.58%,3458.74,8.0,2.01%,69.35,2020-06-27 00:00:00
669,Beruri,495.0,394.0,2.0,0.57%,2002.13,6.0,1.52%,30.49,2020-06-27 00:00:00
670,Urucurituba,1036,389.0,1.0,0.56%,1686.54,2.0,0.51%,8.67,2020-06-27 00:00:00
671,Guajará (1),379.0,374.0,0.0,0.54%,2242.48,1.0,0.27%,6,2020-06-27 00:00:00
672,Urucará (1),773.0,358.0,7.0,0.52%,2202.26,4.0,1.12%,24.61,2020-06-27 00:00:00
673,Itamarati (1),550.0,288.0,0.0,0.42%,3668.32,2.0,0.69%,25.47,2020-06-27 00:00:00
674,Pauini (1),289.0,284.0,0.0,0.41%,1461.96,3.0,1.06%,15.44,2020-06-27 00:00:00
675,Anamã,500.0,279.0,0.0,0.40%,2049.36,0.0,0.00%,0,2020-06-27 00:00:00
676,Santa Isabel do Rio Negro,612.0,277.0,0.0,0.40%,1101.13,3.0,1.08%,11.93,2020-06-27 00:00:00
677,Japurá,506.0,256.0,104.0,0.37%,9292.2,1.0,0.39%,36.3,2020-06-27 00:00:00
678,Jutaí (1),525.0,248.0,7.0,0.36%,1732.21,13.0,5.24%,90.8,2020-06-27 00:00:00
679,Manaquiri,365.0,240.0,1.0,0.35%,747.55,12.0,5.00%,37.38,2020-06-27 00:00:00
680,Juruá (1),614.0,215.0,1.0,0.31%,1461.39,2.0,0.93%,13.59,2020-06-27 00:00:00
681,São Sebastião do Uatumã,447.0,215.0,1.0,0.31%,1533.52,1.0,0.47%,7.13,2020-06-27 00:00:00
682,Novo Airão,595.0,211.0,0.0,0.31%,1084.61,6.0,2.84%,30.84,2020-06-27 00:00:00
683,Manicoré,1236,202.0,32.0,0.29%,362.33,4.0,1.98%,7.17,2020-06-27 00:00:00
684,Maraã,529.0,199.0,33.0,0.29%,1091.97,3.0,1.51%,16.46,2020-06-27 00:00:00
685,Boa Vista do Ramos,400.0,192.0,3.0,0.28%,999.64,2.0,1.04%,10.41,2020-06-27 00:00:00
686,Silves,328.0,160.0,3.0,0.23%,1744.63,4.0,2.50%,43.62,2020-06-27 00:00:00
687,Nhamundá,245.0,147.0,1.0,0.21%,694.28,4.0,2.72%,18.89,2020-06-27 00:00:00
688,Caapiranga,432.0,146.0,0.0,0.21%,1116.12,4.0,2.74%,30.58,2020-06-27 00:00:00
689,Codajás,218.0,140.0,1.0,0.20%,488.88,3.0,2.14%,10.48,2020-06-27 00:00:00
690,Careiro da Várzea,238.0,78.0,0.0,0.11%,258.06,4.0,5.13%,13.23,2020-06-27 00:00:00
691,Canutama (1),179.0,73.0,0.0,0.11%,467.08,0.0,0.00%,0,2020-06-27 00:00:00
692,Apuí (1),204.0,40.0,1.0,0.06%,182.04,0.0,0.00%,0,2020-06-27 00:00:00
693,Ipixuna,196.0,4.0,0.0,0.01%,13.47,0.0,0.00%,0,2020-06-27 00:00:00
694,Envira (2),11.0,0.0,0.0,0.00%,0,0.0,0.00%,0,2020-06-27 00:00:00
695,Manaus,68127,25103,143.0,39.59%,1150.06,1711,6.82%,78.39,2020-06-21 00:00:00
696,INTERIOR,73995,38307,399.0,60.41%,1952.61,946.0,2.47%,48.22,2020-06-21 00:00:00
697,Coari,6684,3284,0.0,5.18%,3859.13,77.0,2.34%,90.48,2020-06-21 00:00:00
698,Manacapuru,7.3210000000000015,3083,13.0,4.86%,3166.05,122.0,3.96%,125.29,2020-06-21 00:00:00
699,Tefé,3045,2959,85.0,4.67%,4944.11,76.0,2.57%,126.99,2020-06-21 00:00:00
700,São Gabriel da Cachoeira (1),3.39,2547,52.0,4.02%,5589.94,43.0,1.69%,94.37,2020-06-21 00:00:00
