,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,54.082,20.422,125.0,"42,84%","935,60",1.432,"7,01%","65,60",2020-06-05
1,INTERIOR,50.887,27.244,276.0,"57,16%","1.388,70",767.0,"2,82%","39,10",2020-06-05
2,Manacapuru,6.343999999999999,2.61,12.0,"5,48%","2.680,30",107.0,"4,10%","109,88",2020-06-05
3,São Gabriel da Cachoeira,2.6260000000000003,2.241,23.0,"4,70%","4.918,36",27.0,"1,20%","59,26",2020-06-05
4,Tefé,2.555,2.172,60.0,"4,56%","3.629,13",60.0,"2,76%","100,25",2020-06-05
5,Coari,2.7960000000000003,2.077,0.0,"4,36%","2.440,74",63.0,"3,03%","74,03",2020-06-05
6,Parintins,2.761,1.548,1.0,"3,25%","1.354,65",59.0,"3,81%","51,63",2020-06-05
7,Tabatinga,2.128,1.088,2.0,"2,28%","1.652,39",60.0,"5,51%","91,12",2020-06-05
8,Benjamin Constant,1.659,1.044,1.0,"2,19%","2.428,81",25.0,"2,39%","58,16",2020-06-05
9,Itacoatiara,1.781,930.0,0.0,"1,95%","917,73",50.0,"5,38%","49,34",2020-06-05
10,Iranduba,1.999,841.0,5.0,"1,76%","1.741,35",26.0,"3,09%","53,83",2020-06-05
11,Santo Antônio do Içá,1.162,786.0,2.0,"1,65%","3.638,55",16.0,"2,04%","74,07",2020-06-05
12,Careiro,1.3940000000000001,737.0,0.0,"1,55%","1.946,18",13.0,"1,76%","34,33",2020-06-05
13,Maués,1.4340000000000002,720.0,15.0,"1,51%","1.126,67",29.0,"4,03%","45,38",2020-06-05
14,Autazes,1.04,647.0,1.0,"1,36%","1.635,28",22.0,"3,40%","55,60",2020-06-05
15,Rio Preto da Eva,2.261,559.0,6.0,"1,17%","1.676,31",11.0,"1,97%","32,99",2020-06-05
16,Barcelos,1.188,546.0,0.0,"1,15%","1.985,31",18.0,"3,30%","65,45",2020-06-05
17,Presidente Figueiredo,1.329,518.0,0.0,"1,09%","1.427,82",16.0,"3,09%","44,10",2020-06-05
18,São Paulo de Olivença,895.0,477.0,1.0,"1,00%","1.213,77",12.0,"2,52%","30,54",2020-06-05
19,Boca do Acre,898.0,466.0,0.0,"0,98%","1.358,28",7.0,"1,50%","20,40",2020-06-05
