,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
0,Manaus,61.137,22.894000000000002,143.0,"40,86%","1.048,85",1.5959999999999999,"6,97%","73,12",2020-06-13
1,INTERIOR,62.981,33.132,388.0,"59,14%","1.688,83",869.0,"2,62%","44,30",2020-06-13
2,Manacapuru,6.685,2.855,12.0,"5,10%","2.931,90",121.0,"4,24%","124,26",2020-06-13
3,Coari,5.308,2.804,0.0,"5,00%","3.295,06",75.0,"2,67%","88,13",2020-06-13
4,Tefé,2.823,2.481,85.0,"4,43%","4.145,43",66.0,"2,66%","110,28",2020-06-13
5,São Gabriel da Cachoeira,2.8930000000000002,2.401,52.0,"4,29%","5.269,51",30.0,"1,25%","65,84",2020-06-13
6,Parintins,3.95,1.953,2.0,"3,49%","1.709,07",63.0,"3,23%","55,13",2020-06-13
7,Benjamin Constant,2.1590000000000003,1.317,1.0,"2,35%","3.063,93",25.0,"1,90%","58,16",2020-06-13
8,Tabatinga,2.198,1.176,2.0,"2,10%","1.786,04",67.0,"5,70%","101,76",2020-06-13
9,Iranduba,2.66,1.142,5.0,"2,04%","2.364,59",34.0,"2,98%","70,40",2020-06-13
10,Itacoatiara,2.185,1.129,0.0,"2,02%","1.114,10",50.0,"4,43%","49,34",2020-06-13
11,Santo Antônio do Içá (1),1.359,902.0,2.0,"1,61%","4.175,54",18.0,"2,00%","83,33",2020-06-13
12,Careiro,1.485,849.0,0.0,"1,52%","2.241,94",13.0,"1,53%","34,33",2020-06-13
13,Maués,1.5930000000000002,783.0,15.0,"1,40%","1.225,26",29.0,"3,70%","45,38",2020-06-13
14,Autazes,1.311,776.0,1.0,"1,39%","1.961,33",27.0,"3,48%","68,24",2020-06-13
15,Barcelos,1.328,708.0,0.0,"1,26%","2.574,36",20.0,"2,82%","72,72",2020-06-13
16,Rio Preto da Eva,2.331,693.0,6.0,"1,24%","2.078,15",11.0,"1,59%","32,99",2020-06-13
17,Presidente Figueiredo,1.883,678.0,1.0,"1,21%","1.868,85",19.0,"2,80%","52,37",2020-06-13
18,São Paulo de Olivença,930.0,544.0,4.0,"0,97%","1.384,26",15.0,"2,76%","38,17",2020-06-13
19,Boca do Acre,1.051,539.0,0.0,"0,96%","1.571,06",8.0,"1,48%","23,32",2020-06-13
20,Anori,772.0,525.0,0.0,"0,94%","2.498,81",9.0,"1,71%","42,84",2020-06-13
21,Tapauá (1),1.295,512.0,0.0,"0,91%","2.984,38",3.0,"0,59%","17,49",2020-06-13
22,Barreirinha,687.0,456.0,0.0,"0,81%","1.423,18",5.0,"1,10%","15,61",2020-06-13
23,Itapiranga,456.0,456.0,1.0,"0,81%","4.984,70",5.0,"1,10%","54,66",2020-06-13
24,Alvarães (1),710.0,427.0,0.0,"0,76%","2.661,93",10.0,"2,34%","62,34",2020-06-13
25,Beruri,465.0,374.0,1.0,"0,67%","1.900,50",5.0,"1,34%","25,41",2020-06-13
26,Carauari,1.2109999999999999,369.0,1.0,"0,66%","1.304,16",4.0,"1,08%","14,14",2020-06-13
27,Fonte Boa,721.0,369.0,39.0,"0,66%","2.095,52",13.0,"3,52%","73,83",2020-06-13
28,Borba,830.0,356.0,12.0,"0,64%","864,90",16.0,"4,49%","38,87",2020-06-13
29,Tonantins (1),704.0,348.0,1.0,"0,62%","1.855,51",14.0,"4,02%","74,65",2020-06-13
30,Amaturá,363.0,347.0,0.0,"0,62%","3.007,98",8.0,"2,31%","69,35",2020-06-13
31,Uarini (1),346.0,346.0,0.0,"0,62%","2.555,39",2.0,"0,58%","14,77",2020-06-13
32,Novo Aripuanã,321.0,291.0,0.0,"0,52%","1.134,77",8.0,"2,75%","31,20",2020-06-13
33,Humaitá (1),967.0,278.0,0.0,"0,50%","504,72",3.0,"1,08%","5,45",2020-06-13
34,Urucará,589.0,263.0,3.0,"0,47%","1.617,86",4.0,"1,52%","24,61",2020-06-13
35,Atalaia do Norte,450.0,253.0,0.0,"0,45%","1.270,02",1.0,"0,40%","5,02",2020-06-13
36,Urucurituba,673.0,239.0,0.0,"0,43%","1.036,20",2.0,"0,84%","8,67",2020-06-13
37,Eirunepé,654.0,237.0,0.0,"0,42%","671,90",0.0,"0,00%","0,00",2020-06-13
38,Anamã,385.0,235.0,0.0,"0,42%","1.726,16",0.0,"0,00%","0,00",2020-06-13
39,Lábrea,261.0,199.0,3.0,"0,36%","431,96",2.0,"1,01%","4,34",2020-06-13
40,Novo Airão,502.0,190.0,0.0,"0,34%","976,66",5.0,"2,63%","25,70",2020-06-13
41,Nova Olinda do Norte,291.0,180.0,5.0,"0,32%","481,57",16.0,"8,89%","42,81",2020-06-13
42,Jutaí,374.0,170.0,7.0,"0,30%","1.187,40",12.0,"7,06%","83,82",2020-06-13
43,Japurá,368.0,169.0,62.0,"0,30%","6.134,30",0.0,"0,00%","0,00",2020-06-13
44,Manaquiri,305.0,169.0,1.0,"0,30%","526,40",7.0,"4,14%","21,80",2020-06-13
45,São Sebastião do Uatumã,302.0,161.0,0.0,"0,29%","1.148,36",1.0,"0,62%","7,13",2020-06-13
46,Maraã,455.0,158.0,23.0,"0,28%","866,99",2.0,"1,27%","10,97",2020-06-13
47,Silves,293.0,142.0,3.0,"0,25%","1.548,36",4.0,"2,82%","43,62",2020-06-13
48,Boa Vista do Ramos,275.0,135.0,3.0,"0,24%","702,87",2.0,"1,48%","10,41",2020-06-13
49,Caapiranga,271.0,129.0,0.0,"0,23%","986,16",2.0,"1,55%","15,29",2020-06-13
50,Guajará,139.0,126.0,0.0,"0,22%","755,49",1.0,"0,79%","6,00",2020-06-13
51,Nhamundá,170.0,110.0,1.0,"0,20%","519,53",2.0,"1,82%","9,45",2020-06-13
52,Pauini (1),109.0,109.0,0.0,"0,19%","561,10",0.0,"0,00%","0,00",2020-06-13
53,Codajás,164.0,102.0,1.0,"0,18%","356,18",2.0,"1,96%","6,98",2020-06-13
54,Manicoré,668.0,97.0,32.0,"0,17%","173,99",2.0,"2,06%","3,59",2020-06-13
55,Juruá,435.0,94.0,0.0,"0,17%","638,93",0.0,"0,00%","0,00",2020-06-13
56,Itamarati (1),262.0,78.0,0.0,"0,14%","993,50",1.0,"1,28%","12,74",2020-06-13
57,Santa Isabel do Rio Negro,128.0,72.0,0.0,"0,13%","286,21",1.0,"1,39%","3,98",2020-06-13
58,Careiro da Várzea,151.0,56.0,0.0,"0,10%","185,28",4.0,"7,14%","13,23",2020-06-13
59,Canutama,139.0,48.0,0.0,"0,09%","307,12",0.0,"0,00%","0,00",2020-06-13
60,Apuí,159.0,27.0,1.0,"0,05%","122,88",0.0,"0,00%","0,00",2020-06-13
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-13
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-13
